opify,,Credit to u/ffrosteh for the original list,"Note: empty year entries are unknown, may be very old/outdated :(",
Company / Role,Salary Information (CAD unless otherwise specified),Benefits,Year,Position
1password,50/hr (4th coop),,2023,
Abbott ADD,22.05/hr (2nd coop),,,
Abnormal Security,106k USD annual prorated (~$51/hr USD),5k relocation,,
Accedo,25-27/hr (3rd coop),,,
⁠Achievers inc,20-25/hr,,,
Addepar,"40/hr, 48/hr (5th coop)",,,
AdHawk Microsystems,40/hr (5th coop),,2024,Algorithms Developer
⁠ADP,less than 44/hr,,,
AGF Investments,25/hr (2nd coop),,2023,Web Developer (Junior)
AI Arena,45/hr,,,
Akuna Capital,65 USD/hour,return flight + corporate housing,,
Altice USA,mid 30s/hr (6th coop),,,
Amazon,9138 USD/month,2425/month tax-free relocation stipend,,
AMD,"27/hr, ~21.88/hr (4th coop), ~29.33/hr (6th coop)",,,
American Express,34.5/hr,,,
ANSYS,math coop average + 10%,,,
⁠Apple,"(34/hr + 1300-1500 stipend/month), (37/hr + 1350 stipend for 3A term), (44/h + housing or 1k stipend. 4A Product Design)",Stipends listed,,
Apple,42/hr USD (3A),3335/mo pretax relocation (3A),2024,Hardware
Apple,42/hr USD,1k/mo stipend,2024,System Level Test Engineer
Arctic Wolf,"36/hr (3rd coop), 42/hr (4th coop)",,2023,
Arctic Wolf,38/hr (4th coop),,2024,
Aterlo Networks,30/hr (4th coop),,,
Athelas,33/hr USD,1200/mo USD housing stipend (2nd coop) + flights,,
Athos,5000 USD/mo,,,
Atolio,"34/hr (3rd coop), 38/hr (4th coop), 38/hr (5th coop), 42/hr (6th coop)",,,
ATS Corporation,28/hr (5th year (4B?)),,,
⁠Autodesk,33/hr (4th coop),,2023,
Autodesk,34/hr (5th coop),,2024,
Autonomic,"38-40/hr (4th coop), 41/hr (5th coop)",,,
Axonify,1100/week (4th coop),,2024,
Bank of America,22/hr (2nd coop),,,
Bank of America (Merrill Lynch),20/hr (1st coop),,,
BDO,"34.36/hr, 25/h (2nd coop), 32/h (3rd coop)",,,
Bentley Systems,"30/hr (1st coop), 33/hr (2nd coop)",,,
BETS Program,3000 stipend,,,
BetterUp,8500/mo,,,
Bitbuy,20/hr (1st coop),,,
⁠Bitgo (Lumina),"10,000/mo",,,
Blackberry,"(about average), ~21/hr",,,
bld.ai,7000/mo,,,
Bloomberg,48/hr + 5100 stipend (5th coop),,,
Bloq,"5.4k/mo (2nd coop), 6.2k/mo (3rd coop)","950/mo benefits (2nd coop, 3rd coop)",,
Bluescape,34/hr (6th coop),,,
BMO Business Analyst (2A),24/hr,,,
BMO Product Analyst,28/hr (2nd coop),,,
BMO Software Developer,29.50/hr (1st coop),,,
Bolt,56 USD/hr,,,
Bonfire Interactive,24/hr (2nd coop),,,
Boosted.AI,35/hr,,,
Borrowell,(mobile dev) 35/hr (5h coop),,,
Brookfield Annuity,35/hr,,,
Brookfield Renewables,26/hr,,,
BusPlanner,coop average,,2024,
CAAT Pension Plan,18/hr (2nd coop),,,
Canadian Food Inspection Agency (Full Stack Dev),24.77/hr (5th coop),,,
⁠Canix,6400 USD/mo (+1000/mo relocation in-person),,,
⁠Capco,25-30/hr,,,
Capital1,40/hr (5th coop),$1000 signing bonus,2025,
Carta,"30.75/hr (4th coop), 1230-1400/week",,,SWE
Carta,"40/hr (4th coop), 47/hr (5th coop)",,2024,Android Engineering
Carfax (Dev),26/hr (2nd coop),,,
Castleton Commodities,38/hr,,,
CEGN,Low-Mid 20s,,,
C.E. McMahon Professional Corporation,19/hr,,,
Cepton,35/hr,500/mo housing,,
Cerebras Systems,38/hr,,,
Ceridian,32/hr (3rd coop),,2023,
Ceridian,22/hr,,"2022, 2023",Marketing Coordinator
Certik,7000 USD/month remote (4th coop),,,
CGI,18/hr (3rd coop),,,
Chisel.ai,40/hr (5th coop),,,
Christie Digital Systems,"18/hr (1st coop), +2/hr every add. coop term",,,
CIBC,coop average + $1,,,
Cisco (Ottawa Office),31-33/hr (1st coop),2000 CAD signing bonus (1st coop),2024,
Cisco Meraki,(up to) 67/hr + 10k signing bonus,,,
Citadel,3365 USD/week,,,
Citibank,44/hr,2000 CAD housing stipend,2024,
Cockroach Labs,8000/month + 1.5k signing bonus,,,
CodeWithChris,20/hr (1st coop),,,
Cohere,20-50/hr based on experience,,,
Coherent Logix,$1-3 above coop average,,,
Cohesity,49/hr,,,
Coinbase,50/hr,,,
Coinsquare,"28/hr (1st coop), 44/hr (5th coop, any dev role)",,,
Composer.trade,9000/month,500/month stipend,2024,
Compound,"$10,200/month",,,
Connected,37/hr (6th coop),,,
Constant Contact,35/hr (4th coop),,2023,
The Co-operators,~21/hr (1st coop),,,
Core Avionics,"20/hr (1st coop), 30/hr",,,
Coursera,7000/month,,,
Cover Technologies Inc,30 USD/hr,,,
CPP Investments,37/hr (2nd coop),4% of yearly salary (70k) as vacation pay,2024,SWE
CPP Investments,34/hr (3rd coop),,2024,"""Intern Engineer"""
CPP Investments,48/hr (4th coop),,2024,"""Intern Analyst"""
Crawford and Co,20/hr,,2022,Business Analyst
